country_code,indicator_code,count,mean,std,min,max
COL,BX.KLT.DINV.WD.GD.ZS,11,3.979085263913579,0.7671180172786036,2.7588942895314,4.97124137726565
COL,NE.GDI.FTOT.ZS,11,20.132504307918637,2.4620985013077963,16.2164481041442,23.3747819041323
COL,NY.GDP.MKTP.KD.ZG,11,2.7210493283413104,4.420585631263424,-7.18591413760859,10.8011981904878
COL,VC.IHR.PSRC.P5,10,25.28694099695312,1.7921827975246507,22.6427030734102,28.654305199833
CRI,BX.KLT.DINV.WD.GD.ZS,11,5.23468871810473,1.0891865183191927,3.34838047556023,7.34017474268191
CRI,NE.GDI.FTOT.ZS,11,17.65204187073642,1.2368936599995861,16.251169086417,19.8399496601011
CRI,NY.GDP.MKTP.KD.ZG,11,3.5936176764021366,2.9734351939767705,-4.14159340574358,8.21817953969082
CRI,VC.IHR.PSRC.P5,10,12.237358660448061,2.0742233786686333,10.0060434824472,17.7454798727379
ECU,BX.KLT.DINV.WD.GD.ZS,11,0.8185543352202834,0.3371048499646232,0.360313100049938,1.36067004574537
ECU,NE.GDI.FTOT.ZS,11,20.590026341654326,1.5763700434940737,17.9954424258669,23.4838892665471
ECU,NY.GDP.MKTP.KD.ZG,11,1.5247155801136352,4.953377882546646,-9.24509619165865,9.42189269033631
ECU,VC.IHR.PSRC.P5,10,13.396878379856895,13.183231469921187,5.78775543057783,45.7228145164847
PER,BX.KLT.DINV.WD.GD.ZS,11,2.7798335924876487,1.181392202208445,0.464940476173709,4.6280339832618
PER,NE.GDI.FTOT.ZS,11,21.78016939433009,1.4612401330287108,19.9414702059197,24.5405155067793
PER,NY.GDP.MKTP.KD.ZG,11,2.4347866727812897,5.601402793160595,-10.9333065010382,13.4166456126513
PER,VC.IHR.PSRC.P5,8,7.441994505930695,0.8354185740090412,5.79501314909191,8.60480803979216
